step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
16,PAYMENT,1693.55,C2085155619,0,0,M1194087850,0,0,0
230,CASH_IN,147821.15,C302982028,430,148251.15,C2103496331,70124,0,0
202,CASH_OUT,178901.68,C498429323,0,0,C323039620,17531461.52,17710363.21,0
354,PAYMENT,2722.6,C293162370,21727,19004.4,M891211384,0,0,0
404,CASH_OUT,23626.42,C386353912,0,0,C1147975408,842337.03,865963.45,0
132,CASH_OUT,60225.58,C1991073235,0,0,C565133802,62405.59,122631.17,0
162,CASH_OUT,36422.51,C1065266127,556,0,C1992468113,0,36422.51,0
20,CASH_OUT,36797.32,C1901414407,0,0,C1504836720,999641.59,1036438.92,0
34,TRANSFER,652380.14,C647366173,26181.85,0,C1756965554,667108.73,1319488.88,0
398,PAYMENT,38924.62,C887861267,429403.93,390479.32,M662118683,0,0,0
329,PAYMENT,27468.77,C1611537039,125379.73,97910.96,M427194485,0,0,0
305,CASH_OUT,7089.89,C645168383,180813,173723.11,C598228047,6200,13289.89,0
350,TRANSFER,638890.23,C2085409217,0,0,C807258450,829440,1468330.23,0
287,PAYMENT,23740.17,C288305497,53046,29305.83,M918932573,0,0,0
328,CASH_OUT,337778.16,C1573850990,51708,0,C483170895,445504.6,783282.76,0
203,PAYMENT,6868.27,C366608719,0,0,M1579198934,0,0,0
38,CASH_IN,58198.93,C627037410,765005.48,823204.42,C1891438963,201904.49,143705.56,0
262,CASH_IN,136789.29,C1321135489,15676,152465.29,C959700247,24757.89,0,0
125,CASH_OUT,222097.11,C1167153094,222097.11,0,C744862329,383533.13,605630.23,1
35,CASH_OUT,304939.03,C434855884,39761,0,C1169479281,0,304939.03,0
345,TRANSFER,1966939.36,C549213081,0,0,C437801258,8297777.7,10264717.06,0
395,CASH_IN,133228.79,C587719715,1393520.23,1526749.02,C1072558316,636020.78,502791.99,0
372,CASH_IN,316355.54,C326927358,3305833.31,3622188.86,C1535755101,992122.54,675767,0
154,PAYMENT,17849.4,C1313442898,53029,35179.6,M1209092596,0,0,0
406,PAYMENT,2018.44,C234863558,1824,0,M1481805502,0,0,0
359,CASH_OUT,421349.9,C967670405,38136.61,0,C482876198,789503.24,1210853.14,0
34,CASH_OUT,470327.24,C95835860,0,0,C834458122,4036732.67,6196690.49,0
329,CASH_OUT,217219.29,C439935229,0,0,C1362329861,345095.7,562315,0
306,CASH_OUT,226089.33,C231783403,65688,0,C1218132662,97574.63,323663.96,0
234,PAYMENT,9112.48,C815915791,46461.77,37349.29,M1417058453,0,0,0
44,CASH_OUT,180100.68,C1361241641,0,0,C1288544297,1439744.1,1619844.78,0
596,PAYMENT,12319.16,C423675117,25298,12978.84,M1380360881,0,0,0
257,CASH_OUT,35130.2,C1071855342,0,0,C1203740191,952653.09,987783.29,0
393,CASH_IN,375166.67,C1268106687,51218.99,426385.65,C963352897,3293805.96,2918639.3,0
353,CASH_IN,36116.45,C314628973,6696,42812.45,C1197076721,3597851.54,3561735.09,0
187,CASH_OUT,110854.81,C863413974,341665,230810.19,C1446311690,0,110854.81,0
305,CASH_OUT,463562.42,C1254516535,10163,0,C85843123,150909.53,614471.96,0
403,CASH_OUT,162351.94,C1714367726,0,0,C1934741811,453659.84,616011.78,0
328,PAYMENT,18414.51,C987433511,61864,43449.49,M1218771674,0,0,0
354,PAYMENT,18667.73,C1868513635,433,0,M2091213945,0,0,0
228,CASH_OUT,219874.07,C390077424,21477,0,C900543266,0,219874.07,0
402,TRANSFER,58108.25,C219128708,22340,0,C289496053,4374.73,62482.98,0
567,CASH_OUT,49197.26,C1641143062,0,0,C389573533,59858.11,109055.36,0
326,CASH_OUT,100562.83,C335992242,0,0,C1714130288,405314.59,505877.42,0
131,CASH_IN,267165.67,C1316588899,7183579.88,7450745.55,C1452190384,869982.29,602816.62,0
369,CASH_OUT,72035.22,C504357986,0,0,C1724642236,174911.46,246946.68,0
226,CASH_OUT,222627.9,C308938061,23114,0,C879299457,1438580.24,1661208.13,0
276,PAYMENT,9335.82,C1899462435,0,0,M555386310,0,0,0
596,CASH_IN,213018.35,C1068012252,9515804.22,9728822.56,C1043101689,9989395.53,9776377.18,0
354,CASH_OUT,239618.37,C1375922913,51980,0,C463189650,62171.94,301790.31,0
254,CASH_OUT,117499.05,C251757282,30879,0,C2069736083,975048.92,1092547.97,0
681,PAYMENT,14548.7,C951471653,5006,0,M841432871,0,0,0
120,PAYMENT,7033.69,C1492212955,3528,0,M846317405,0,0,0
332,PAYMENT,2387.59,C1238775274,14070,11682.41,M1303458782,0,0,0
398,TRANSFER,730707.49,C703741156,26753,0,C245654344,206832.53,937540.01,0
307,PAYMENT,7093.69,C1439935017,14880,7786.31,M967246671,0,0,0
277,PAYMENT,47908.74,C521587156,127789.42,79880.68,M2010501342,0,0,0
203,PAYMENT,6579,C439690087,316208.37,309629.37,M275452251,0,0,0
404,CASH_OUT,102868.83,C236246205,0,0,C974360363,1745199.56,1848068.38,0
184,CASH_IN,186430.4,C508620614,7828076.02,8014506.41,C1296640531,232970.35,46539.95,0
182,PAYMENT,7624.62,C820275094,0,0,M1013307516,0,0,0
714,PAYMENT,13526.17,C1047322808,111514,97987.83,M1438320319,0,0,0
20,CASH_OUT,157851.5,C1040994192,2052,0,C738214953,73615.74,231467.25,0
19,TRANSFER,657792.79,C874871997,51052,0,C1002469873,308094.85,1017765.39,0
372,CASH_OUT,41643.5,C1810627627,25482,0,C1503279690,0,41643.5,0
180,CASH_OUT,216494.05,C1217941827,41265,0,C1644699481,437331.57,653825.62,0
401,CASH_IN,83561.55,C1902269227,2868343.28,2951904.84,C1889395764,28142844.92,28059283.37,0
544,CASH_IN,68566.05,C934767553,2845284.19,2913850.24,C1835046173,806884.67,738318.61,0
204,CASH_IN,194313.42,C551167375,21371646.8,21565960.22,C1980837345,917293.7,722980.28,0
187,PAYMENT,19242.02,C1728710817,98452.24,79210.22,M205758672,0,0,0
133,PAYMENT,7090.47,C603545915,0,0,M1265853286,0,0,0
280,CASH_IN,76458.22,C1034449105,40498,116956.22,C1897915544,101606.91,25148.68,0
256,PAYMENT,5170.96,C1187374830,0,0,M92152010,0,0,0
407,PAYMENT,2782.76,C1910696510,101943,99160.24,M2139026654,0,0,0
160,TRANSFER,399833.58,C772729064,0,0,C11656974,2334593.7,2734427.29,0
19,PAYMENT,1456.29,C1367115175,17555.68,16099.39,M774024857,0,0,0
185,PAYMENT,14075.19,C1156906267,0,0,M1163054924,0,0,0
321,CASH_OUT,357273.52,C1815069842,0,0,C575830115,475972.22,833245.74,0
307,CASH_OUT,108157.44,C144840350,120363,12205.56,C359960871,13582.73,121740.18,0
451,TRANSFER,228933.86,C1366381085,41183,0,C292679256,0,228933.86,0
282,CASH_OUT,154182.78,C1185147383,75,0,C287737170,0,154182.78,0
15,PAYMENT,27455.01,C884563687,0,0,M1209078362,0,0,0
204,PAYMENT,4935.28,C1540733920,1393,0,M122518297,0,0,0
371,PAYMENT,17736.56,C1897083824,0,0,M305013009,0,0,0
260,CASH_IN,294511.87,C300608018,11072960.04,11367471.9,C441890223,792947.38,498435.51,0
379,CASH_OUT,221433.02,C1451971043,8028,0,C1286055882,68632.05,241609.11,0
21,PAYMENT,1073.11,C33587898,52178.78,51105.66,M211700145,0,0,0
324,PAYMENT,24968.61,C92451497,173678.11,148709.5,M959212579,0,0,0
310,PAYMENT,12467.3,C420577667,82089,69621.7,M37775187,0,0,0
394,CASH_OUT,110399.23,C504019534,0,0,C1944087812,1216700.26,1327099.49,0
302,CASH_OUT,252694.8,C749474923,51026,0,C1724230680,0,252694.8,0
141,CASH_IN,27578.45,C1238405416,11387652.74,11415231.19,C1790394162,136958.36,109379.91,0
239,PAYMENT,5193.71,C242966985,0,0,M918264382,0,0,0
378,CASH_OUT,137255.6,C1259678442,30065,0,C897163767,4488377.83,4625633.44,0
402,TRANSFER,1255517.13,C50638479,49547,0,C2134428852,8778390.54,10033907.67,0
374,CASH_OUT,14962.03,C1647261588,13587,0,C667140364,0,14962.03,0
345,PAYMENT,7707.91,C1653157933,56076.88,48368.97,M35914677,0,0,0
331,CASH_IN,126819.75,C408804145,377304,504123.75,C2126502883,0,0,0
184,PAYMENT,821.82,C1532494314,10230,9408.18,M974351862,0,0,0
162,CASH_OUT,148164,C865087662,297994.41,149830.41,C1227512728,200192.87,348356.87,0
134,PAYMENT,19377.02,C381724711,118029.97,98652.95,M546400758,0,0,0
405,PAYMENT,25433.52,C1963600473,11806,0,M122154610,0,0,0
399,CASH_OUT,295703.07,C1676475875,0,0,C1829458210,5618179.9,5913882.97,0
233,CASH_IN,81054.6,C146105486,2031367.57,2112422.17,C1664530093,218860.42,137805.82,0
380,CASH_OUT,41650.78,C1255527067,20393,0,C966136797,53250.21,94900.99,0
404,TRANSFER,233077.15,C1195526489,0,0,C72893397,341453.63,574530.78,0
239,CASH_IN,23803.97,C759457524,4031147.91,4054951.89,C801962346,948559.1,924755.12,0
35,CASH_IN,13343.19,C885019255,107811,121154.19,C1829714991,0,0,0
13,TRANSFER,295395.13,C705752493,0,0,C604591490,1693338.11,1988733.23,0
324,CASH_IN,415256.1,C506893444,5329299.09,5744555.19,C121295014,705565.21,290309.11,0
371,CASH_OUT,181311.69,C366943818,0,0,C244188252,810911.32,992223.02,0
282,CASH_IN,247635.07,C297813547,7465640.79,7713275.86,C1004142314,1330781.76,1083146.69,0
11,PAYMENT,6146.84,C132468130,61837,55690.16,M429914985,0,0,0
393,PAYMENT,12738.67,C79174945,10599,0,M1497747941,0,0,0
136,TRANSFER,806553.42,C2029701052,9713,0,C445704845,432055.44,1238608.87,0
217,CASH_IN,61625.82,C1461728808,4896292.56,4957918.38,C422619539,2353819.43,2292193.61,0
351,PAYMENT,850.56,C1624881045,20403,19552.44,M1408462949,0,0,0
299,CASH_IN,72183.09,C1625436157,1595390.2,1667573.3,C112974412,205824.61,133641.51,0
329,CASH_OUT,310726.6,C1857868697,14990,0,C981305261,675908.62,986635.22,0
157,PAYMENT,3891.71,C1715762012,0,0,M1528955396,0,0,0
323,CASH_OUT,36892.02,C1975420534,0,0,C1773459198,144578.46,181470.48,0
327,CASH_OUT,313913.6,C917099685,0,0,C316053075,1413541.45,1727455.05,0
379,CASH_IN,83456.68,C1447512715,205595,289051.68,C336018516,65089.36,0,0
283,CASH_OUT,52027.09,C361719937,11317,0,C1646095157,0,52027.09,0
285,CASH_OUT,15980.16,C701090969,55388,39407.84,C1951401253,2675899.04,2691879.2,0
44,PAYMENT,3022.01,C1047758709,0,0,M542142705,0,0,0
278,PAYMENT,10058.4,C2090744255,7021.32,0,M1526762266,0,0,0
203,CASH_IN,46869.37,C1655515870,129,46998.37,C767544292,7308425.68,7261556.31,0
18,PAYMENT,320.52,C1532963200,0,0,M2058385429,0,0,0
324,CASH_IN,120755.71,C235918872,8198889.23,8319644.94,C2123031230,764222.87,643467.16,0
378,CASH_OUT,256766.71,C1222513258,0,0,C1263177908,2423114.47,2679881.18,0
398,CASH_IN,315244.1,C1323966654,198,315442.1,C1920103299,577572.67,262328.57,0
119,CASH_IN,112157.05,C1728574810,10494,122651.05,C1139303866,1039736.97,927579.92,0
239,CASH_IN,587323.64,C1093248031,415817.23,1003140.87,C1380303822,1967124.21,1379800.58,0
280,PAYMENT,5385.39,C919432425,10879,5493.61,M2034930058,0,0,0
41,CASH_OUT,86283.55,C1300738342,0,0,C1573595135,652387.81,738671.37,0
331,CASH_IN,159777.89,C1267739859,8492758.47,8652536.36,C936209409,571571.43,411793.54,0
346,CASH_OUT,212137.17,C1332519210,469,0,C938918304,0,212137.17,0
230,PAYMENT,23361.6,C446300151,850595,827233.4,M625209772,0,0,0
369,CASH_OUT,166218.83,C942066976,0,0,C1815687278,403461.79,569680.62,0
372,PAYMENT,30160.12,C470926995,228,0,M1029336669,0,0,0
41,PAYMENT,21443.17,C758313716,0,0,M1198563338,0,0,0
379,PAYMENT,863.72,C1170110128,113900,113036.28,M268472135,0,0,0
263,CASH_OUT,157946.53,C1892585397,49398.15,0,C325129278,351766.55,509713.08,0
514,CASH_OUT,102236.49,C1531308286,204880,102643.51,C808388278,4235727.87,4337964.36,0
282,CASH_OUT,104631.92,C231868067,212209,107577.08,C1995043606,38526.78,143158.7,0
379,CASH_OUT,215825.48,C1554539267,103273,0,C925384848,170199.83,386025.31,0
142,CASH_OUT,151417.83,C552671937,0,0,C453211571,12806049.39,12957467.22,0
253,PAYMENT,5467.24,C2093918592,364085.53,358618.29,M53868886,0,0,0
279,CASH_OUT,121354.62,C1753090751,0,0,C2063493701,518916.86,640271.47,0
131,CASH_OUT,26657.43,C1887296941,61441,34783.57,C245910738,0,26657.43,0
378,CASH_IN,31469.73,C1303335497,4221785.67,4253255.4,C890579132,40539.78,9070.06,0
327,CASH_OUT,245418.47,C1032357808,20,0,C769459487,1901038.64,2146457.11,0
17,CASH_IN,209649.42,C1602110858,1643304.91,1852954.33,C2033171559,716156.12,609816.4,0
331,PAYMENT,23998.5,C1597695838,0,0,M1491096856,0,0,0
38,CASH_IN,186207.93,C813144741,23536932.3,23723140.23,C1134768703,1036536.17,850328.24,0
42,PAYMENT,2237.96,C68418098,19852,17614.04,M678561751,0,0,0
42,CASH_IN,138568.24,C679596177,1332733.02,1471301.26,C1477270128,1488365.35,1643971.53,0
10,PAYMENT,19456.28,C2031012891,849,0,M1357197764,0,0,0
324,CASH_OUT,128468.15,C1874915695,0,0,C401590164,4743327.11,4871795.26,0
257,CASH_IN,98274.04,C1322759381,4506998.86,4605272.9,C2072847775,272050.69,173776.65,0
22,PAYMENT,5217.63,C920308042,30574.41,25356.78,M691985381,0,0,0
157,TRANSFER,306746.62,C212849659,0,0,C14964801,3315133.26,3621879.88,0
43,CASH_OUT,33999.03,C1184452127,0,0,C1579098108,2851738.64,2885737.67,0
280,CASH_IN,8866.82,C1769087775,889053.69,897920.5,C47685952,16601.16,7734.34,0
15,PAYMENT,16031.97,C612057838,0,0,M45354924,0,0,0
274,PAYMENT,3421.01,C1441296099,0,0,M609311968,0,0,0
324,PAYMENT,16446.67,C1995048733,0,0,M1779094613,0,0,0
361,CASH_IN,523769.28,C798679980,4979757.43,5503526.72,C1833573688,591106.17,67336.89,0
234,TRANSFER,530197.09,C1911964085,0,0,C69148695,787532.71,1317729.8,0
141,CASH_IN,70842.26,C2014245962,206,71048.26,C1615057638,0,0,0
306,CASH_OUT,55119.09,C545703042,103774,48654.91,C128031823,0,55119.09,0
227,PAYMENT,27125.21,C1878889114,190,0,M55623643,0,0,0
333,PAYMENT,13387.33,C684064324,0,0,M1199588082,0,0,0
231,TRANSFER,736404,C1921856639,0,0,C1422643114,2258379.12,2994783.12,0
212,CASH_IN,61493.78,C347811708,4707694.76,4769188.53,C1707567682,2824203.81,2762710.03,0
45,PAYMENT,10941.27,C1578605440,0,0,M1004742156,0,0,0
163,CASH_OUT,238685.69,C1760054660,3725,0,C917464839,0,238685.69,0
284,CASH_OUT,236894.18,C1757920142,5611,0,C1062158625,64521.53,301415.71,0
330,CASH_IN,418985.35,C1622402912,145101,564086.35,C1078189988,23770127.14,23351141.8,0
209,CASH_IN,189096.52,C1380168434,292337.7,481434.21,C1626425911,1449904.16,1260807.65,0
232,CASH_IN,121330.93,C721721974,8509661.2,8630992.13,C1460481041,745541.38,624210.45,0
208,PAYMENT,3401.16,C2139172672,186418.64,183017.48,M1403828195,0,0,0
158,CASH_OUT,278874.53,C223783417,0,0,C1027296777,2870743.8,3149618.33,0
203,CASH_OUT,77468.76,C968602892,212202,134733.24,C1831782109,3474595.64,3552064.41,0
356,CASH_IN,2937.67,C122231391,21672,24609.67,C1583222313,67654.68,64717.01,0
208,PAYMENT,919.91,C1008605102,20439.24,19519.33,M1188390196,0,0,0
403,CASH_OUT,3498.74,C419763044,0,0,C1278463265,3107420.3,3110919.04,0
164,CASH_OUT,303418.08,C1097092677,0,0,C1541053313,312904.22,616322.3,0
44,CASH_IN,256513.47,C733147772,22828709.81,23085223.28,C65569811,5246695.13,4990181.65,0
277,PAYMENT,26244.23,C413243759,0,0,M62428675,0,0,0
186,PAYMENT,5440.59,C410231062,17343.21,11902.61,M318126768,0,0,0
256,CASH_IN,177451.29,C890290622,1061,178512.29,C2106620829,270443.57,92992.28,0
287,CASH_IN,89645.28,C744548779,920269.24,1009914.52,C1453626255,6702965.56,6613320.28,0
137,CASH_OUT,33083.47,C497591570,12117,0,C1716831828,7467899.62,7500983.09,0
376,CASH_IN,192903.05,C20429626,186814.84,379717.9,C550007901,274213.4,81310.35,0
37,CASH_OUT,92431.64,C926914426,0,0,C2125012025,4911281.42,5003713.06,0
234,CASH_IN,332533.09,C1837136935,2630225.27,2962758.36,C1627785046,1751216.96,1418683.87,0
567,CASH_IN,36710.04,C1326395019,0,36710.04,C9656356,402073.54,365363.5,0
188,CASH_OUT,110684.96,C947463631,50805.66,0,C1318232820,7900479.22,8011164.17,0
331,CASH_OUT,62795.63,C505110752,41113,0,C1968758164,0,62795.63,0
253,PAYMENT,13654.83,C1722682285,0,0,M2048427074,0,0,0
201,PAYMENT,37194.01,C42437999,0,0,M899843958,0,0,0
33,CASH_OUT,212966.14,C1873646964,0,0,C1697323714,1012618.87,1341308.22,0
133,CASH_OUT,45639.45,C1560559174,124476,78836.55,C1420728586,401870.9,639395.39,0
165,CASH_IN,76727.45,C762555724,6705115.96,6781843.41,C56715140,209746.81,133019.36,0
253,CASH_OUT,213977.41,C412903386,0,0,C818166075,1677399.65,1891377.05,0
277,CASH_OUT,158017.03,C986674635,14985,0,C223696532,132848.08,290865.12,0
41,CASH_IN,92178.89,C966998730,102,92280.89,C564502884,0,0,0
304,CASH_IN,193927.26,C254516497,5295855.26,5489782.53,C1660418051,3316224.1,3122296.83,0
189,CASH_IN,11111.8,C1908784859,149259,160370.8,C2094996027,2095770.05,2084658.25,0
179,PAYMENT,18342.83,C830527759,0,0,M955098929,0,0,0
135,TRANSFER,92323.14,C1630101677,9929,0,C2046405003,217612.39,309935.53,0
370,CASH_OUT,256192.04,C403716714,0,0,C521984510,1884228.12,2140420.16,0
398,TRANSFER,2876237.25,C1542647208,0,0,C1411451832,7084202.1,9960439.35,0
375,PAYMENT,18671.23,C1583021425,27174,8502.77,M1832091792,0,0,0
10,CASH_OUT,110253.42,C219866756,14126.29,0,C939768546,1296886.29,1407139.71,0
403,CASH_OUT,65544.98,C1259145608,14546,0,C589225041,40621.37,106166.35,0
15,CASH_OUT,100923.48,C71699648,0,0,C1684633018,545446.04,1144585.08,0
306,PAYMENT,23201.27,C1046321697,0,0,M803359874,0,0,0
380,CASH_OUT,219474.05,C10983092,0,0,C1561573436,444020.97,663495.02,0
209,CASH_OUT,39935.56,C486867476,0,0,C321880445,147641.95,187577.52,0
353,CASH_OUT,17119.23,C300028182,15250,0,C1659176239,10583308.03,10600427.26,0
158,PAYMENT,5815.7,C1195967515,52401.95,46586.25,M1466021722,0,0,0
130,CASH_OUT,106730.04,C524239199,0,0,C2072163288,308730.86,415460.9,0
177,CASH_OUT,214646.82,C670783851,0,0,C1687236810,246951.62,461598.44,0
573,PAYMENT,11308.89,C82274136,0,0,M1751517010,0,0,0
375,CASH_IN,44648.19,C1087325963,2444,47092.19,C2021979594,21780.24,0,0
284,CASH_OUT,113778.16,C1382645997,0,0,C84277455,9911193.87,10024972.04,0
403,CASH_OUT,129044.38,C1015132360,16786,0,C1678721888,0,129044.38,0
36,CASH_OUT,126991.32,C1261852648,0,0,C669244570,150618.77,277610.09,0
282,CASH_OUT,27675.09,C638837461,0,0,C1439591997,874225.08,901900.17,0
395,CASH_IN,245532.65,C871054229,8689361.69,8934894.34,C1259732390,2699181.36,2453648.71,0
686,CASH_OUT,139695.31,C1277913279,21135,0,C836808092,621530.68,761225.99,0
670,CASH_IN,33205.43,C489219029,101570,134775.43,C1814832943,96560.69,63355.26,0
35,CASH_OUT,14925.71,C352867739,0,0,C2001964705,4609981.11,4624906.82,0
134,CASH_OUT,32952.95,C1826687211,258447,225494.05,C615803193,206737.46,239690.42,0
373,PAYMENT,15351.38,C688773985,19701,4349.62,M1057790700,0,0,0
356,CASH_IN,7102.39,C1226107370,350124.78,357227.17,C2005169118,5893208.83,5886106.44,0
372,CASH_OUT,135847.17,C586216943,21462,0,C1268928006,4194721.58,4330568.75,0
353,CASH_OUT,222113.64,C1409487860,11372,0,C1421486031,112317.18,334430.82,0
41,TRANSFER,508626.24,C306338587,0,0,C1163619825,994395.25,1503021.49,0
144,DEBIT,1584.27,C864966536,20627,19042.73,C457613367,92590.47,94174.74,0
141,PAYMENT,9628.14,C1259085047,31391,21762.86,M154875523,0,0,0
234,CASH_IN,96042.77,C802297320,3172123.62,3268166.39,C1792211249,4685635.57,4589592.8,0
381,PAYMENT,4351.93,C20349175,49894,45542.07,M821353114,0,0,0
10,PAYMENT,13079.07,C483405730,2153,0,M1747796977,0,0,0
407,PAYMENT,3655.83,C16478654,56681,53025.17,M942369498,0,0,0
204,CASH_OUT,213748.01,C1852140916,919,0,C1908863781,0,213748.01,0
405,PAYMENT,22351.89,C1009904756,238979,216627.11,M1161220016,0,0,0
403,TRANSFER,497119.73,C87887927,0,0,C1797996780,618489.04,1115608.78,0
153,CASH_IN,38274.25,C1423808138,6363,44637.25,C463752282,0,0,0
34,CASH_IN,105106.94,C1639462618,5081748.45,5186855.39,C1341085586,2089472.23,1984365.29,0
379,PAYMENT,4956.66,C1178954979,0,0,M872043934,0,0,0
330,TRANSFER,545470.4,C78606668,84526.9,0,C940947956,4324353.23,4869823.63,0
212,CASH_OUT,53679.33,C2075872864,57762,4082.67,C1283784261,10054.69,63734.03,0
16,CASH_OUT,105543.43,C479558993,242335,136791.57,C664247545,2758556.73,3333283.82,0
37,CASH_OUT,26739.89,C1043389471,4032,0,C99354359,798932.56,781264.2,0
154,TRANSFER,31934.93,C1181662481,0,0,C2023180219,395323.43,427258.36,0
257,CASH_OUT,93868.97,C1020115916,21037,0,C965495196,49307.88,143176.84,0
131,CASH_IN,329842.74,C92890856,20992,350834.74,C186661926,213611.58,0,0
